time,swell_height,z,eastward_velocity,upward_velocity,northward_velocity,moles_of_oxygen_per_unit_mass,density,electrical_conductivity,pressure,practical_salinity,temperature,flubsct,cdomflo,mass_concentration_of_chlorophyll_a,downwelling_photosynthetic_photon_flux
2020-07-07T03:09:00Z,0.72,-256.0,-0.0731906101,0.0147837984,0.0457287195,128.8415321706,1028.3048521172,38.9513836735,257.8810204082,35.3370152498,10.4349510204,9.068238E-4,0.8432,0.0318,-0.8788345682
2020-07-07T09:09:00Z,0.64,-408.0,-0.1332729244,-0.0964225496,0.2246693876,161.7819616862,1029.3107093628,36.1519061224,411.7008163265,35.1279461248,7.6083938776,0.0011551321,0.7905,0.0106,0.1698939306
2020-07-07T15:09:00Z,0.72,-198.0,-0.0491001718,-0.0044669023,0.0658969977,138.8441629498,1027.8765672592,40.3626897959,199.4024489796,35.4535241443,11.8043510204,9.520618E-4,0.7905,0.0,-0.8788345682
2020-07-07T21:09:00Z,1.27,-408.0,0.0114298504,0.0227104605,0.2410404703,165.2064301271,1029.3313240075,35.984793617,411.6325531915,35.1207621269,7.4357638298,0.0012680552,0.8432,-0.0318,0.5893855701
2020-07-08T03:09:00Z,1.24,-258.0,-0.0295005643,-0.0572984555,0.0606318203,133.5764288118,1028.3020268956,39.0611102041,260.1712244898,35.3447501522,10.5403979592,0.0010197691,0.7905,0.0212,0.1698939306
2020-07-08T09:09:00Z,0.93,-409.0,0.0258549555,0.1831352264,0.1423011708,164.2592302627,1029.330437037,36.0117833333,412.09625,35.1222831284,7.4630916667,0.0010421793,0.8432,0.0106,-0.4593431287
2020-07-08T15:09:00Z,0.87,-215.0,-0.0519248728,0.0551353863,-0.0057327776,131.3803161022,1027.9642726097,40.705044898,217.0706122449,35.5307379215,12.0669591837,8.617196E-4,0.7905,0.0,-0.4593431287
2020-07-08T21:09:00Z,0.96,-407.0,-0.0685190195,0.0180324178,0.1999832165,169.447545896,1029.3551596173,35.7621625,410.8258333333,35.1112923187,7.205525,0.0015165146,1.054,0.0,-0.4593431287
2020-07-09T03:09:00Z,0.91,-184.0,-0.1159289011,0.0112150544,0.0589950533,141.7334600119,1027.7501608534,41.12345,185.0,35.5480785231,12.49185,0.0011327815,0.7905,0.0,-0.0398515892
2020-07-09T09:09:00Z,0.69,-407.0,-0.1101812878,0.2084029077,0.2821935463,165.5798386292,1029.3328797977,35.9512959184,410.5334693878,35.1219525468,7.3990408163,0.0010421947,1.0013,0.0318,-0.2495974089
2020-07-09T15:09:00Z,0.55,-184.0,-0.2661676726,0.0304320581,-0.0343361699,142.4901892512,1027.7496380989,41.1526216216,185.0221621622,35.5534975128,12.5159162162,9.52079E-4,0.7905,0.0106,1.0088768096
2020-07-09T21:09:00Z,0.62,-408.0,-0.0577805141,-0.0237501967,0.0835915615,164.3529795265,1029.3270642861,36.0168653061,411.3612244898,35.1231949792,7.4680122449,0.0013809941,1.0013,-0.0106,-0.0398515892
2020-07-10T03:09:00Z,0.70,-168.0,-0.1920296546,-0.0470843568,0.1901262725,171.5937779754,1027.558835066,40.227512,169.2894,35.2419782855,11.901544,9.520859E-4,0.7905,0.0106,-0.4593431287
2020-07-10T09:09:00Z,0.61,-410.0,-0.127490376,0.0044758056,0.0609453074,162.2869125506,1029.3238318056,36.1180428571,413.5497959184,35.1268548897,7.5721816327,0.0015617068,0.8959,-0.0106,-0.0398515892
